,,,,,,,,,,,,,,,overall ,
General Category,,,OBC-NCL Category,,,SC Category,,,ST Category,,,EWS Category,,,Rank,Marks (out of 360)
,,,,,,,,,,,,,,,1,340-360
Rank,Marks (out of 360),,Rank,Marks (out of 360),,Rank,Marks (out of 360),,Rank,Marks (out of 360),,Rank,Marks (out of 360),,10,300-310
1,340-360,,1,310-320,,1,230-240,,1,220-230,,1,310-320,,50,270-280
10,300-310,,10,270-280,,10,200-210,,10,190-200,,10,270-280,,100,250-260
50,270-280,,50,230-240,,50,160-170,,50,150-160,,50,230-240,,200,230-240
100,250-260,,100,210-220,,100,140-150,,100,130-140,,100,210-220,,300,220-230
200,230-240,,200,190-200,,200,120-130,,200,110-120,,200,190-200,,400,210-220
500,200-210,,500,160-170,,500,100-110,,500,90-100,,500,160-170,,500,200-210
1000,175-180,,1000,140-150,,1000,80-90,,1000,70-80,,1000,140-150,,600,195-200
2000,160-165,,2000,120-130,,2000,60-70,,2000,50-60,,2000,120-130,,700,190-195
3000,150-155,,3000,100-110,,,,,,,,3000,100-110,,800,185-190
5000,130-135,,5000,80-90,,,,,,,,5000,80-90,,900,180-185
10000,105-110,,,,,,,,,,,,,,1000,175-180
20000,55-60,,,,,,,,,,,,,,2000,160-165
,,,,,,,,,,,,,,,3000,150-155
,,,,,,,,,,,,,,,4000,140-145
,,,,,,,,,,,,,,,5000,130-135
,,,,,,,,,,,,,,,6000,125-130
,,,,,,,,,,,,,,,7000,120-125
,,,,,,,,,,,,,,,8000,115-120
,,,,,,,,,,,,,,,9000,110-115
,,,,,,,,,,,,,,,10000,105-110
,,,,,,,,,,,,,,,11000,100-105
,,,,,,,,,,,,,,,12000,95-100
,,,,,,,,,,,,,,,13000,90-95
,,,,,,,,,,,,,,,14000,85-90
,,,,,,,,,,,,,,,15000,80-85
,,,,,,,,,,,,,,,16000,75-80
,,,,,,,,,,,,,,,17000,70-75
,,,,,,,,,,,,,,,18000,65-70
,,,,,,,,,,,,,,,19000,60-65
,,,,,,,,,,,,,,,20000,55-60
